kind,on_table,name,definition
CONSTRAINT,deletion_requests,deletion_requests_requested_by_fkey,FOREIGN KEY (requested_by) REFERENCES auth.users(id)
CONSTRAINT,deletion_requests,deletion_requests_status_check,"CHECK ((status = ANY (ARRAY['requested'::text, 'verified'::text, 'scheduled'::text, 'cancelled'::text, 'completed'::text, 'failed'::text])))"
CONSTRAINT,deletion_requests,deletion_requests_target_user_id_fkey,FOREIGN KEY (target_user_id) REFERENCES auth.users(id)
CONSTRAINT,document_chunks,document_chunks_manual_id_fkey,FOREIGN KEY (manual_id) REFERENCES manuals(id) ON DELETE CASCADE
CONSTRAINT,document_chunks,document_chunks_pkey,PRIMARY KEY (id)
CONSTRAINT,file_metadata,file_metadata_asset_id_fkey,FOREIGN KEY (asset_id) REFERENCES assets(id) ON DELETE SET NULL
CONSTRAINT,file_metadata,file_metadata_object_path_key,UNIQUE (object_path)
CONSTRAINT,file_metadata,file_metadata_organization_id_fkey,FOREIGN KEY (organization_id) REFERENCES organizations(id) ON DELETE CASCADE
CONSTRAINT,file_metadata,file_metadata_pkey,PRIMARY KEY (id)
CONSTRAINT,file_metadata,file_metadata_plant_id_fkey,FOREIGN KEY (plant_id) REFERENCES plants(id) ON DELETE CASCADE
CONSTRAINT,file_metadata,file_metadata_removed_by_fkey,FOREIGN KEY (removed_by) REFERENCES auth.users(id)
CONSTRAINT,file_metadata,file_metadata_uploaded_by_fkey,FOREIGN KEY (uploaded_by) REFERENCES auth.users(id)
CONSTRAINT,inventory_transactions,inventory_transactions_performed_by_fkey,FOREIGN KEY (performed_by) REFERENCES auth.users(id)
CONSTRAINT,inventory_transactions,inventory_transactions_pkey,PRIMARY KEY (id)
CONSTRAINT,inventory_transactions,inventory_transactions_spare_id_fkey,FOREIGN KEY (spare_id) REFERENCES spares(id)
CONSTRAINT,invitations,invitations_created_by_fkey,FOREIGN KEY (created_by) REFERENCES auth.users(id)
CONSTRAINT,invitations,invitations_organization_id_fkey,FOREIGN KEY (organization_id) REFERENCES organizations(id) ON DELETE CASCADE
CONSTRAINT,invitations,invitations_pkey,PRIMARY KEY (id)
CONSTRAINT,invitations,invitations_plant_id_fkey,FOREIGN KEY (plant_id) REFERENCES plants(id) ON DELETE CASCADE
CONSTRAINT,legal_acceptances,legal_acceptances_document_id_fkey,FOREIGN KEY (document_id) REFERENCES legal_documents(id)
CONSTRAINT,legal_acceptances,legal_acceptances_document_id_user_id_key,"UNIQUE (document_id, user_id)"
CONSTRAINT,legal_acceptances,legal_acceptances_organization_id_fkey,FOREIGN KEY (organization_id) REFERENCES organizations(id) ON DELETE CASCADE
CONSTRAINT,legal_acceptances,legal_acceptances_pkey,PRIMARY KEY (id)
CONSTRAINT,legal_acceptances,legal_acceptances_user_id_fkey,FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE
CONSTRAINT,legal_documents,legal_acceptance_scope_check,"CHECK ((acceptance_scope = ANY (ARRAY['all_users'::text, 'owners'::text, 'platform_admins'::text])))"
CONSTRAINT,legal_documents,legal_documents_document_type_version_key,"UNIQUE (document_type, version)"
CONSTRAINT,legal_documents,legal_documents_pkey,PRIMARY KEY (id)
CONSTRAINT,legal_documents,legal_documents_published_by_fkey,FOREIGN KEY (published_by) REFERENCES auth.users(id)
CONSTRAINT,loto_procedures,loto_procedures_applied_by_fkey,FOREIGN KEY (applied_by) REFERENCES auth.users(id)
CONSTRAINT,loto_procedures,loto_procedures_asset_id_fkey,FOREIGN KEY (asset_id) REFERENCES assets(id) ON DELETE CASCADE
CONSTRAINT,loto_procedures,loto_procedures_pkey,PRIMARY KEY (id)
CONSTRAINT,loto_procedures,loto_procedures_plant_id_fkey,FOREIGN KEY (plant_id) REFERENCES plants(id) ON DELETE CASCADE
CONSTRAINT,loto_procedures,loto_procedures_removed_by_fkey,FOREIGN KEY (removed_by) REFERENCES auth.users(id)
CONSTRAINT,loto_procedures,loto_procedures_work_order_id_fkey,FOREIGN KEY (work_order_id) REFERENCES work_orders(id) ON DELETE CASCADE
CONSTRAINT,maintenance_completions,maintenance_completions_organization_id_fkey,FOREIGN KEY (organization_id) REFERENCES organizations(id) ON DELETE CASCADE
CONSTRAINT,maintenance_completions,maintenance_completions_pkey,PRIMARY KEY (id)
CONSTRAINT,maintenance_completions,maintenance_completions_plan_id_fkey,FOREIGN KEY (plan_id) REFERENCES maintenance_plans(id) ON DELETE CASCADE
CONSTRAINT,maintenance_completions,maintenance_completions_plant_id_fkey,FOREIGN KEY (plant_id) REFERENCES plants(id) ON DELETE CASCADE
CONSTRAINT,maintenance_completions,maintenance_completions_supervisor_approved_by_fkey,FOREIGN KEY (supervisor_approved_by) REFERENCES auth.users(id)
CONSTRAINT,maintenance_completions,maintenance_completions_worker_id_fkey,FOREIGN KEY (worker_id) REFERENCES auth.users(id)
CONSTRAINT,maintenance_plans,maintenance_plans_asset_id_fkey,FOREIGN KEY (asset_id) REFERENCES assets(id)
CONSTRAINT,maintenance_plans,maintenance_plans_assigned_to_fkey,FOREIGN KEY (assigned_to) REFERENCES auth.users(id)
CONSTRAINT,maintenance_plans,maintenance_plans_created_by_fkey,FOREIGN KEY (created_by) REFERENCES auth.users(id)
CONSTRAINT,maintenance_plans,maintenance_plans_last_completed_by_fkey,FOREIGN KEY (last_completed_by) REFERENCES auth.users(id)
CONSTRAINT,maintenance_plans,maintenance_plans_organization_id_fkey,FOREIGN KEY (organization_id) REFERENCES organizations(id) ON DELETE CASCADE
CONSTRAINT,maintenance_plans,maintenance_plans_pkey,PRIMARY KEY (id)
CONSTRAINT,maintenance_plans,maintenance_plans_plant_id_fkey,FOREIGN KEY (plant_id) REFERENCES plants(id) ON DELETE CASCADE
CONSTRAINT,maintenance_plans,maintenance_plans_removed_by_fkey,FOREIGN KEY (removed_by) REFERENCES auth.users(id)
CONSTRAINT,manuals,manuals_asset_id_fkey,FOREIGN KEY (asset_id) REFERENCES assets(id)
CONSTRAINT,manuals,manuals_organization_id_fkey,FOREIGN KEY (organization_id) REFERENCES organizations(id) ON DELETE CASCADE
CONSTRAINT,manuals,manuals_pkey,PRIMARY KEY (id)
CONSTRAINT,manuals,manuals_plant_id_fkey,FOREIGN KEY (plant_id) REFERENCES plants(id)
CONSTRAINT,manuals,manuals_uploaded_by_fkey,FOREIGN KEY (uploaded_by) REFERENCES auth.users(id)
CONSTRAINT,material_requests,material_requests_managed_by_fkey,FOREIGN KEY (managed_by) REFERENCES auth.users(id)
CONSTRAINT,material_requests,material_requests_organization_id_fkey,FOREIGN KEY (organization_id) REFERENCES organizations(id) ON DELETE CASCADE
CONSTRAINT,material_requests,material_requests_pkey,PRIMARY KEY (id)
CONSTRAINT,material_requests,material_requests_plant_id_fkey,FOREIGN KEY (plant_id) REFERENCES plants(id) ON DELETE CASCADE
CONSTRAINT,material_requests,material_requests_purchase_order_id_fkey,FOREIGN KEY (purchase_order_id) REFERENCES purchase_orders(id) ON DELETE SET NULL
CONSTRAINT,material_requests,material_requests_requested_by_fkey,FOREIGN KEY (requested_by) REFERENCES auth.users(id)
CONSTRAINT,material_requests,material_requests_spare_id_fkey,FOREIGN KEY (spare_id) REFERENCES spares(id) ON DELETE CASCADE
CONSTRAINT,measurement_points,measurement_points_asset_id_fkey,FOREIGN KEY (asset_id) REFERENCES assets(id) ON DELETE CASCADE
