schema_line
TABLE: material_requests.requested_by | uuid | nullable=NO | default=none
TABLE: material_requests.quantity | integer | nullable=NO | default=1
TABLE: material_requests.urgency | text | nullable=NO | default='normal'::text
TABLE: material_requests.notes | text | nullable=YES | default=none
TABLE: material_requests.status | text | nullable=NO | default='pending'::text
TABLE: material_requests.managed_by | uuid | nullable=YES | default=none
TABLE: material_requests.created_at | timestamp with time zone | nullable=NO | default=now()
TABLE: material_requests.updated_at | timestamp with time zone | nullable=NO | default=now()
TABLE: material_requests.purchase_order_id | uuid | nullable=YES | default=none
TABLE: measurement_points.id | uuid | nullable=NO | default=gen_random_uuid()
TABLE: measurement_points.organization_id | uuid | nullable=NO | default=none
TABLE: measurement_points.plant_id | uuid | nullable=NO | default=none
TABLE: measurement_points.asset_id | uuid | nullable=YES | default=none
TABLE: measurement_points.name | text | nullable=NO | default=none
TABLE: measurement_points.direction | text | nullable=YES | default=none
TABLE: measurement_points.description | text | nullable=YES | default=none
TABLE: measurement_points.reference_photo_path | text | nullable=YES | default=none
TABLE: measurement_points.active | boolean | nullable=NO | default=true
TABLE: measurement_points.created_by | uuid | nullable=YES | default=none
TABLE: measurement_points.created_at | timestamp with time zone | nullable=NO | default=now()
TABLE: notifications.id | uuid | nullable=NO | default=gen_random_uuid()
TABLE: notifications.organization_id | uuid | nullable=NO | default=none
TABLE: notifications.plant_id | uuid | nullable=YES | default=none
TABLE: notifications.user_id | uuid | nullable=YES | default=none
TABLE: notifications.title | text | nullable=NO | default=none
TABLE: notifications.body | text | nullable=YES | default=none
TABLE: notifications.read_at | timestamp with time zone | nullable=YES | default=none
TABLE: notifications.created_at | timestamp with time zone | nullable=YES | default=now()
TABLE: notifications.severity | text | nullable=YES | default='normal'::text
TABLE: organization_entitlements.organization_id | uuid | nullable=NO | default=none
